filename,filepath,haplotype_count,load_time,matrix_rows,matrix_cols,matrix_size,matrix_density,ones_count,zeros_count,row_min_sum,row_max_sum,row_mean_sum,row_std_sum,col_min_sum,col_max_sum,col_mean_sum,col_std_sum,ilp_calls_total,preprocessing_time,clustering_time,total_time,ilp_time_total,ilp_time_ratio,avg_ilp_time,patterns_found,regions_found,clustering_steps,regions_processed,matrix_operations,avg_region_size,largest_region,smallest_region,ilp_calls_per_pattern,time_per_ilp_call,patterns_per_second,matrix_complexity,solver_success_count,solver_failed_count,solver_error_count,error
matrix_edge_8_560000.csv,2/matrix_edge_8_560000.csv,2,0.03123927116394043,57,21,1197.0,0.9598997493734336,1149.0,48.0,17.0,21.0,20.157894736842106,1.166633689020793,53.0,56.0,54.714285714285715,0.9331389496316869,0,0.0015273094177246094,9.298324584960938e-06,0.0015366077423095703,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.0,0.0,0.0,0.0,
matrix_ctg0_55000.csv,2/matrix_ctg0_55000.csv,2,0.03171682357788086,42,29,1218.0,0.9129720853858785,1112.0,106.0,2.0,29.0,26.476190476190474,6.804193718156106,16.0,40.0,38.3448275862069,4.2367510492159095,0,0.0022051334381103516,1.0251998901367188e-05,0.0022153854370117188,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,0.0,0.0,0.0,
matrix_ctg0_35000.csv,2/matrix_ctg0_35000.csv,2,0.03744149208068848,55,26,1430.0,0.9104895104895104,1302.0,128.0,0.0,26.0,23.672727272727272,7.360964722975691,50.0,52.0,50.07692307692308,0.38461538461538464,0,0.0022230148315429688,1.049041748046875e-05,0.0022335052490234375,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302.0,0.0,0.0,0.0,
matrix_ctg0_30000.csv,2/matrix_ctg0_30000.csv,2,0.046146392822265625,66,28,1848.0,0.8333333333333334,1540.0,308.0,0.0,28.0,23.333333333333332,10.43498389499902,55.0,55.0,55.0,0.0,0,0.002276897430419922,1.0251998901367188e-05,0.002287149429321289,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540.0,0.0,0.0,0.0,
matrix_ctg0_80000.csv,2/matrix_ctg0_80000.csv,2,0.04791426658630371,61,33,2013.0,0.6537506209637357,1316.0,697.0,4.0,33.0,21.57377049180328,12.763240012608755,38.0,41.0,39.878787878787875,0.6399609721800872,0,0.0029616355895996094,1.0967254638671875e-05,0.0029726028442382812,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.0,0.0,0.0,0.0,
matrix_ctg0_10000.csv,2/matrix_ctg0_10000.csv,2,0.0481114387512207,82,25,2050.0,0.7341463414634146,1505.0,545.0,3.0,24.0,18.353658536585368,8.708521130114265,43.0,63.0,60.2,5.314132102234569,0,0.0023126602172851562,1.0728836059570312e-05,0.0023233890533447266,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.0,0.0,0.0,0.0,
matrix_ctg0_15000.csv,2/matrix_ctg0_15000.csv,2,0.049736976623535156,66,32,2112.0,0.6226325757575758,1315.0,797.0,0.0,32.0,19.924242424242426,15.46678808017321,41.0,43.0,41.09375,0.38400642898264087,0,0.0023162364959716797,1.0967254638671875e-05,0.0023272037506103516,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,
matrix_ctg0_75000.csv,2/matrix_ctg0_75000.csv,2,0.06328439712524414,61,46,2806.0,0.6464718460441911,1814.0,992.0,17.0,40.0,29.737704918032787,9.403350709649427,25.0,58.0,39.43478260869565,5.16952682181229,0,0.004941701889038086,1.1682510375976562e-05,0.0049533843994140625,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1814.0,0.0,0.0,0.0,
matrix_ctg0_65000.csv,2/matrix_ctg0_65000.csv,2,0.07968950271606445,80,44,3520.0,0.7332386363636364,2581.0,939.0,1.0,44.0,32.2625,18.62776405664405,43.0,60.0,58.65909090909091,2.392632458745937,0,0.002620220184326172,1.1444091796875e-05,0.002631664276123047,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2581.0,0.0,0.0,0.0,
matrix_edge_30_105000.csv,2/matrix_edge_30_105000.csv,2,0.08167767524719238,35,107,3745.0,0.9546061415220294,3575.0,170.0,95.0,106.0,102.14285714285714,2.5650715071386787,32.0,34.0,33.41121495327103,0.6107031496338147,0,0.0070705413818359375,1.2636184692382812e-05,0.00708317756652832,0.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3575.0,0.0,0.0,0.0,
